from,to,relation,weight
Apa,Two,3,3
Apa,Fou,4,2
Apa,Son,5,1
Apa,Sid,1,1
Ufo,Sta,3,3
Ufo,Gro,4,2
Ufo,Bau,1,2
Ufo,Rin,1,1
Ufo,Cel,1,1
Ufo,Lor,1,1
Bon,Str,4,3
Bon,Uni,5,1
Bon,Aka,1,1
Bon,Max,1,2
Bon,Kit,1,1
Aka,Xyr,4,3
Aka,Uni,5,1
Aka,Kon,1,2
Juj,Jin,4,3
Juj,Hen,1,1
Juj,Bau,1,1
Juj,Lor,1,1
Lor,Gro,4,3
Lor,Cap,1,2
Lor,Cel,1,1
Jam,Lif,3,3
Jam,Gro,4,2
Jam,Kit,1,1
Jam,Sam,1,2
Jam,Luc,1,2
Jam,Foy,1,1
Jam,Nim,1,1
Jam,Koo,1,1
Jam,Cro,1,1
Kit,Sou,4,3
Kit,Rin,1,1
Kit,Cro,1,1
Kit,Hen,1,1
Kit,Koo,1,1
Kit,Bon,1,1
Cap,Bra,3,3
Cap,Urb,4,2
Cap,Uni,5,1
Cap,Sam,1,2
Cap,Lea,1,2
Cap,Clu,1,1
Cap,Kcr,1,1
Cap,Cro,1,1
Cap,Sid,1,1
Cap,Nim,1,1
Cap,Sum,1,1
Cap,Eli,1,1
Sam,Urb,4,3
Sam,Uni,5,1
Sam,Lea,1,1
Sam,Eli,1,2
Sam,Kon,1,1
Lea,Tre,3,3
Lea,Fou,4,2
Lea,Son,5,1
Bau,Dow,4,3
Bau,War,5,1
Bau,Max,1,1
Bau,Jos,1,1
Bau,Rin,1,2
Max,Str,4,3
Max,Uni,5,1
Max,Jos,1,1
Jos,Ind,3,3
Jos,Gro,4,2
Jos,Sum,1,1
Kaf,Kay,4,3
Sid,Agg,3,3
Sid,Urb,4,2
Sid,Uni,5,1
Sid,Koo,1,2
Rin,Gol,3,3
Rin,Urb,4,2
Rin,Uni,5,1
Rin,Koo,1,1
Foy,Lif,3,3
Foy,Gro,4,2
Foy,Mon,1,1
Nim,Ide,3,3
Nim,Urb,4,2
Nim,Uni,5,1
Nim,Sum,1,1
Hav,Imp,4,3
Hav,Son,5,1
Hav,Dar,1,2
Hen,Bmg,4,3
Hen,Cro,1,1
Kcr,Reb,3,3
Kcr,Ver,4,2
Kcr,Uni,5,1
Kcr,Clu,1,1
Kcr,Sum,2,3
Clu,Ver,3,3
Clu,Uni,5,1
Sum,Ban,4,3
Sum,War,5,1
Sum,Luc,1,2
Luc,Loc,3,3
Luc,Urb,4,2
Luc,Uni,5,1
Luc,Kon,1,1
Cro,Tru,3,3
Cro,Urb,4,2
Cro,Uni,5,1
Eli,Urb,4,3
Eli,Uni,5,1
Koo,Ess,4,3
Koo,Son,5,1
Koo,Ali,1,1
Ali,Two,3,3
Ali,Fou,4,2
Ali,Son,5,1
Dar,Hyp,3,3
Dar,Urb,4,2
Dar,Uni,5,1
Dar,Mon,2,3
Mon,War,5,3
Cel,Gro,4,3
Kon,Bmg,4,3
Two,Fou,6,3
Two,Son,7,2
Sta,Gro,6,3
Lif,Gro,6,3
Tre,Fou,6,3
Tre,Son,7,2
Gol,Urb,6,3
Gol,Uni,7,2
Ide,Urb,6,3
Ide,Uni,7,2
Ver,Uni,8,3
Ver,Reb,6,3
Ban,War,8,3
Tru,Urb,6,3
Tru,Uni,7,3
Hyp,Urb,6,3
Hyp,Uni,7,2
Loc,Urb,6,3
Loc,Uni,7,2
Ind,Gro,6,3
Bra,Urb,6,3
Bra,Uni,7,2
Agg,Urb,6,3
Agg,Uni,7,2
Reb,Uni,7,2
Str,Uni,8,3
Urb,Uni,8,3
Dow,War,8,3
Imp,Son,8,3
Ess,Son,8,3
Fou,Son,8,3
Xyr,Uni,8,3
